Line #,Key,en Version,ru Translation
111,ru.app.languages.en,English,""
112,ru.app.languages.ka,Georgian,""
113,ru.app.languages._en,English,""
114,ru.app.languages._ka,ქართული,""
115,ru.app.common.name,Sheaghe,""
116,ru.app.common.slogan,Discovering Services,""
117,ru.app.common.description,"
Sheaghe is a unified database of organizations that provide services to persons with disabilities.
Using it you will be able to find information about any service registered in Georgia according to its geographical location and type of service.",""
118,ru.app.common._yes,Yes,""
119,ru.app.common._no,No,""
120,ru.app.common.mac_alt,MAC seeks to transform the lives of the most vulnerable around the world by providing them with the resources they need and by strengthening the systems and individuals that provide them care.,""
121,ru.app.common.created_by,Created By,""
122,ru.app.common.forset_alt,Data Communication: Innovative. Effective. Simple.,""
123,ru.app.common.privacy_policy,Privacy Policy,""
124,ru.app.common.terms_of_use,Terms of Use,""
125,ru.app.common.contact,-----,""
126,ru.app.common.rate,Rate,""
127,ru.app.common.missing,Missing,""
128,ru.app.common.or,or,""
129,ru.app.common.register,Register,""
130,ru.app.common.sign_in,Sign In,""
131,ru.app.common.sign_up,Sign Up,""
132,ru.app.common.cancel,Cancel,""
133,ru.app.common.reset,Reset,""
134,ru.app.common.reset_password,Reset Password,""
135,ru.app.common.change_password,Change Password,""
136,ru.app.common.resend,Resend,""
137,ru.app.common.click_here,Click Here,""
138,ru.app.common.alt,%{alt} Image,""
139,ru.app.common.by,by,""
140,ru.app.common.save,Save,""
141,ru.app.messages.success_created,%{obj} was successfully created.,""
142,ru.app.messages.success_updated,%{obj} was successfully updated.,""
143,ru.app.messages.fail_updated,%{obj} failed to update.,""
144,ru.app.messages.success_destroyed,%{obj} was successfully deleted.,""
145,ru.app.messages.fail_destroyed,%{obj} failed to delete.,""
146,ru.app.messages.success_restored,%{obj} was successfully restored.,""
147,ru.app.messages.fail_restored,%{obj} failed to restore.,""
148,ru.app.messages.accepted,%{obj} was successfully accepted.,""
149,ru.app.messages.declined,%{obj} was successfully declined.,""
150,ru.app.messages.fail_updated_state,%{obj} status failed to update.,""
151,ru.app.messages.state_already_set,%{obj} status already set.,""
152,ru.app.messages.contact_send_success,Message successfully sent.,""
153,ru.app.messages.contact_send_fail,Failed to send message.,""
154,ru.app.messages.service_parent_missing,The parent service record could not be found.,""
155,ru.app.messages.missing_services,Services must be selected.,""
156,ru.app.messages.record_not_found,%{obj} could not be found.,""
157,ru.app.messages.confirm_leave_form,You have unsaved changes. Are you sure you want to leave without saving?,""
158,ru.app.messages.no_data,There are no %{obj} records in the system at this time.,""
159,ru.app.messages.success_accepted,%{obj} was successfully accepted.,""
160,ru.app.messages.success_sent,%{obj} was successfully sent.,""
161,ru.app.messages.success_removed,%{obj} was successfully removed.,""
162,ru.app.messages.fail_removed,%{obj} failed to remove.,""
163,ru.shared.toggle_navigation,Show navigation,""
164,ru.shared.user_profile,Your Account,""
165,ru.shared.provider_profile,Provider Profile,""
166,ru.shared.admin_profile,Admin Section,""
167,ru.shared.manage,Manage,""
168,ru.shared.moderate,Moderate,""
169,ru.shared.fields_localization,Fields to translate,""
170,ru.shared.picked_as_favorite,Picked as favorite,""
171,ru.shared.overall_rating, Rating: %{rating},""
172,ru.shared.overall_rating_js, Rating,""
173,ru.shared.rating_threshold,/%{n},""
174,ru.shared.rating, Rating,""
175,ru.shared.search,Search,""
176,ru.shared.and_up,& Up,""
177,ru.shared.rate,Give rating of %{n},""
178,ru.shared.rate_reset,Delete your rating,""
179,ru.shared.view_all_provider_places,See all places from this service provider,""
180,ru.shared.view_place_details,View organisation details,""
181,ru.shared.view_all_services,View All Services,""
182,ru.shared.view_all_service_places,See all organizations with this service,""
183,ru.shared.add,Add,""
184,ru.shared.add_sub_service,Add Service,""
185,ru.shared.upload_image,Upload Photos,""
186,ru.shared.delete_image,Delete Photo,""
187,ru.shared.pending,Pending,""
188,ru.shared.accept,Accept,""
189,ru.shared.accepted,Accepted,""
190,ru.shared.decline,Decline,""
191,ru.shared.declined,Declined,""
192,ru.shared.processed,Processed,""
193,ru.shared.no_data_found,There is no data on record at this time.,""
194,ru.shared.no_service_data_found,There is no service data on record at this time.,""
195,ru.shared.all_done,Nothing records to moderate!,""
196,ru.shared.are_you_sure,Are you sure?,""
197,ru.shared.favorite,Favorite,""
198,ru.shared.unfavorite,Unfavorite,""
199,ru.shared.url_placeholder,ex: http://www.example.org,""
200,ru.shared.or,Or,""
201,ru.shared.labels.state,Status:,""
202,ru.shared.title.report,Report a problem ,""
203,ru.shared.title.ownership,Are you a service provider and this is your organisation ? Take ownership of this place so you can manage the content.,""
204,ru.shared.title.favorite,Add or remove this organisation from your favorites,""
205,ru.shared.filters.children,Children (0-18),""
206,ru.shared.filters.adults,Adults 18+,""
207,ru.shared.services,Services,""
208,ru.shared.director,Director,""
209,ru.shared.region,Region,""
210,ru.shared.municipality,Municipality,""
211,ru.shared.city_village,City / Village,""
212,ru.messages.succeed_to_process,%{action} was successfully submitted,""
213,ru.messages.succeed_to_process_reject,%{action} was successfully removed.,""
214,ru.messages.failed_to_process,Request for %{action} failed.,""
215,ru.messages.place_rate, rating,""
216,ru.messages.favorite_place,Favorite,""
217,ru.messages.place_ownership,Place ownership,""
218,ru.messages.place_report,Place report,""
219,ru.messages.n_photo_uploaded.one,Photo uploaded.,""
220,ru.messages.n_photo_uploaded.other,%{n} photos uploaded.,""
221,ru.messages.n_photo_uploaded_and_pending.one,Photo uploaded and waiting to be processed,""
222,ru.messages.n_photo_uploaded_and_pending.other,%{n} photos uploaded and waiting to be processed,""
223,ru.messages.uploader_failed,"Error while uploading photos, please contact administration",""
224,ru.messages.assign_provider_to_success,%{child} %{child_name} was assigned to the provider %{name} successfully,""
225,ru.messages.assign_provider_to_failed,Failed to assign %{child} to provider,""
226,ru.messages.unassign_provider_to_success,%{child} %{child_name} unassigned from provider %{name} successfully,""
227,ru.messages.unassign_provider_to_failed,Failed to unassign %{child} from provider,""
228,ru.messages.provider_role_required,This operation require user to be service provider.,""
229,ru.admin.shared.add,Add,""
230,ru.admin.shared.save,Save,""
231,ru.admin.shared.cancel,Cancel,""
232,ru.admin.shared.reset,Reset,""
233,ru.admin.shared.edit,Edit,""
234,ru.admin.shared.delete,Delete,""
235,ru.admin.shared.actions,Actions,""
236,ru.admin.shared.assign,Assign,""
237,ru.admin.shared.view,View,""
238,ru.admin.shared.add_model,Add %{name},""
239,ru.admin.shared.edit_model,Edit %{name},""
240,ru.admin.shared.manage_model,Manage %{name},""
241,ru.admin.shared.create_model,Create %{name},""
242,ru.admin.shared.confirm_delete_model,%{name} will be removed.,""
243,ru.admin.shared.confirm_restore_model,%{name} will be restored.,""
244,ru.admin.shared.search_assign_placeholder,Find object (min 3 chars),""
245,ru.admin.shared.add_service,Add Service,""
246,ru.admin.shared.add_service_for_place,Add a Service to %{place},""
247,ru.admin.shared.input_service_for_place,%{place} Service Details for '%{service}',""
248,ru.admin.shared.invitations_for_place,Manage Access to %{place},""
249,ru.admin.shared.manage_access,Manage Access,""
250,ru.admin.shared.next,Next,""
251,ru.admin.shared.select_all,Select all that apply,""
252,ru.admin.shared.is_required,must be provided,""
253,ru.admin.shared.place_needs_services,You need to add services to the organisation before it is viewable to the public,""
254,ru.admin.shared.move_up,Move the item up the list,""
255,ru.admin.shared.move_down,Move the item down the list,""
256,ru.admin.shared.position,Position,""
257,ru.admin.shared.invite,Invite,""
258,ru.admin.shared.revoke_access,Revoke Access,""
259,ru.admin.shared.restore,Restore,""
260,ru.admin.providers.confirm_delete,Provider will be removed with all places bind to it.,""
261,ru.admin.providers.confirm_restore,Provider will be restored with all places bind to it.,""
262,ru.admin.providers.form.owner_users,Owners:,""
263,ru.admin.providers.form.places,Places:,""
264,ru.admin.providers.list.manage,Manage Providers,""
265,ru.admin.providers.list.manage_with_no_owners,Manage Providers With No Owner,""
266,ru.admin.users.pending_invitations.place_invitation_help_text,"If you have been invitated to manage  information on Sheaghe, the invitation will be listed below.",""
267,ru.admin.places.current_provider,Assigned provider,""
268,ru.admin.places.update_provider,Assign provider,""
269,ru.admin.places.declined_tags,Declined Tags:,""
270,ru.admin.places.list.provider,Provider:,""
271,ru.admin.places.list.manage_with_no_owners,Manage Places With No Owner,""
272,ru.admin.places.select_service.place,Organisation,""
273,ru.admin.places.select_service.root_service,Select a Service Category,""
274,ru.admin.places.select_service.services,Select All Services That Apply,""
275,ru.admin.places.select_service.no_selection,Select a Service Category to see a list of Services,""
276,ru.admin.places.select_service.all_sub_services_in_use,,""
277,ru.admin.places.select_service.view_root_services,Show Service Categories,""
278,ru.admin.places.input_service.place,organisation,""
279,ru.admin.places.input_service.instructions,Please enter the details for this service below,""
280,ru.admin.places.input_service.add_more_services,Add More Services,""
281,ru.admin.places.input_service.add_more_services_title,Click here if you want to add more services to the organization ,""
282,ru.admin.places.input_service.place_list,All Organizations,""
283,ru.admin.places.input_service.place_list_title,Click here to go back to your list of organizations,""
284,ru.admin.places.input_service.services_instructions,Click a button below to add details to your other new services.,""
285,ru.admin.places.services_list.service_link,Click to add details to this service,""
286,ru.admin.places.services_list.service_current,This is the service you are currently entering details for,""
287,ru.admin.places.form.map_heading,Position Your Place On The Map,""
288,ru.admin.places.form.map_help,Click on the map to place a marker for your place. Or you can click on the button below to use your current location.,""
289,ru.admin.places.form.locate_me,Use My Current Location,""
290,ru.admin.places.form.poster_instructions,The green circle with a white checkmark indicates which image will be used for your place listing on the homepage. Click on an image to make it the new image for the homepage listing.,""
291,ru.admin.places.invitations.invitation_help_text,"Enter one or more emails of people you want to give access to manage information about your organisation. Separate emails by ','.",""
292,ru.admin.places.invitations.expired_help_text,Invitations automatically expire after %{num} days.,""
293,ru.admin.places.invitations.send_invitations,Send Invitations,""
294,ru.admin.places.invitations.pending_invitations,Pending Invitations,""
295,ru.admin.places.invitations.current_users,Current Users,""
296,ru.admin.places.invitations.expired_invitations,Expired Invitations,""
297,ru.admin.places.invitations.pending,Pending Invitation,""
298,ru.admin.places.invitations.user,Current User,""
299,ru.admin.places.invitations.expired,Expired Invitation,""
300,ru.admin.places.invitations.emails,Emails,""
301,ru.admin.places.invitations.emails_placeholder,"Separate emails by ','",""
302,ru.admin.place.index.title,Manage Organisations,""
303,ru.admin.place.locate_me,Locate me on the map,""
304,ru.admin.page_contents.list,List Items,""
305,ru.admin.page_contents.new_item,Unnamed list item,""
306,ru.admin.manage_providers.index,Manage Providers,""
307,ru.admin.manage_providers.edit,Edit Provider,""
308,ru.admin.manage_providers.new,Create Provider,""
309,ru.admin.manage_places.index,Manage Organisations,""
310,ru.admin.manage_places.edit,Edit Organisation,""
311,ru.admin.manage_places.new,Register Organisation,""
312,ru.admin.moderate_photos.index,Moderate Photos,""
313,ru.admin.menu.manage_profile,Profile,""
314,ru.admin.menu.favorite_places,Favorite Organisations,""
315,ru.admin.menu.rated_places,Rated Organisation,""
316,ru.admin.menu.pending_invitations,Pending Invitations,""
317,ru.admin.menu.uploaded_photos,Uploaded Photos,""
318,ru.admin.menu.manage_providers,Manage Providers,""
319,ru.admin.menu.manage_places,Organisation ,""
320,ru.admin.menu.moderate_photos,Moderate Photos,""
321,ru.admin.menu.users,Users,""
322,ru.admin.menu.providers,Providers,""
323,ru.admin.menu.places,Organisations,""
324,ru.admin.menu.services,Services,""
325,ru.admin.menu.page_contents,Page Contents,""
326,ru.admin.menu.place_report,Reported Organisations,""
327,ru.admin.menu.place_ownership,Place Ownership,""
328,ru.admin.menu.place_service,Place Service,""
329,ru.admin.menu.new_provider,New Provider,""
330,ru.admin.menu.place_tags,Place Tags,""
331,ru.admin.menu.place_tag,Place Tag,""
332,ru.admin.menu.resources,Topics,""
333,ru.admin.menu.resource_items,Chapters,""
334,ru.admin.user.email,Email,""
335,ru.admin.user.password,Password,""
336,ru.admin.user.password_confirmation,Password Confirmation,""
337,ru.admin.user.has_agreed_html,I have accepted the&nbsp;%{link}!:,""
338,ru.admin.user.promote,Promote to Admin!:,""
339,ru.admin.moderates.place_service.title,Moderate Organisation's Services,""
340,ru.admin.moderates.place_report.title,Moderate Reported Organisations,""
341,ru.admin.moderates.place_report.reported_by,Reported By:,""
342,ru.admin.moderates.place_report.reason,Reason:,""
343,ru.admin.moderates.place_ownership.title,Moderate Organization's Ownership,""
344,ru.admin.moderates.place_ownership.linked_provider,Provider:,""
345,ru.admin.moderates.place_ownership.request_from,Request From:,""
346,ru.admin.moderates.place_tag.title,Moderate Organization's Tag,""
347,ru.admin.moderates.place_tag.created_by,Created By:,""
348,ru.admin.moderates.place_tag.tag,Tag:,""
349,ru.admin.moderates.new_provider.title,Moderate New Provider,""
350,ru.admin.moderates.new_provider.created_by,Created By:,""
351,ru.admin.moderates.new_provider.name,Provider Name:,""
352,ru.admin.moderates.new_provider.description,Description:,""
353,ru.admin.uploads.list.uploaded_by,Uploaded By:,""
354,ru.admin.uploads.list.manage_with_no_owners,Manage Organization's  Photos With No Owner,""
355,ru.admin.resources.new_item,New Chapter ,""
356,ru.admin.resources.list,Chapters,""
357,ru.admin.resource_items.new_item,New Resource Content,""
358,ru.admin.resource_items.list,Chapters,""
359,ru.application.dialog.partners,PARTNERS,""
360,ru.application.dialog.contact,CONTACT,""
361,ru.application.dialog.org,MAC Georgia,""
362,ru.application.dialog.address,Address:,""
363,ru.application.dialog.address_content,"3 Kavsadze, Second Floor, Tbilisi, Georgia",""
364,ru.application.dialog.phone,Phone:,""
365,ru.application.dialog.phone_content,Free Hotline: 0 800 900 902; Office #: 2197378,""
366,ru.application.dialog.email,Email:,""
367,ru.application.dialog.email_content,mac_info@macgeorgia.org,""
368,ru.application.dialog.report,Report a problem with '%{name}',""
369,ru.application.dialog.report_button,Send,""
370,ru.application.dialog.report_placeholder,Enter the reason for the report,""
371,ru.application.dialog.alt.close,Close Dialog,""
372,ru.application.dialog.alt.address,Contact Address,""
373,ru.application.dialog.alt.phone,Contact Phone,""
374,ru.application.dialog.alt.email,Contact Email,""
375,ru.application.navigation.logo_title,Sheage - Discovering Services,""
376,ru.application.navigation.logo_alt,Sheage - Discovering Services Logo,""
377,ru.application.navigation.user_title,Your profile,""
378,ru.application.navigation.user_alt,Your profile image,""
379,ru.application.navigation.about,ABOUT,""
380,ru.application.navigation.faq,FAQ,""
381,ru.application.navigation.contact,CONTACT,""
382,ru.application.navigation.resources,RESOURCES,""
383,ru.application.navigation.facebook_alt,Share on Facebook,""
384,ru.application.navigation.twitter_alt,Share on Twitter,""
385,ru.application.navigation.sign_up,Register,""
386,ru.application.navigation.sign_in,Sign In,""
387,ru.application.navigation.log_out,Log Out,""
388,ru.application.slideshow.alt.close,Close slideshow,""
389,ru.application.slideshow.alt.prev,Show previous slideshow image,""
390,ru.application.slideshow.alt.next,Show next slideshow image,""
391,ru.root.index.what,What are you looking for,""
392,ru.root.index.where,Where,""
393,ru.root.index.filters,Filters,""
394,ru.root.index.services,Services:,""
395,ru.root.index.cancel,Cancel,""
396,ru.root.index.apply,Apply,""
397,ru.root.index.rate,Rate:,""
398,ru.root.index.favorites,Filter by Favorites:,""
399,ru.root.index.rating,Rating:,""
400,ru.root.index.result.one,Result,""
401,ru.root.index.result.other,Results,""
402,ru.root.index.alt.filter,Filter,""
403,ru.root.index.alt.show_all,Show all,""
404,ru.root.index.alt.show_favorite,Show favorite places,""
405,ru.root.index.filter.by_map,Filter as I move the map,""
406,ru.root.index.placeholder.what,"Place, address or city",""
407,ru.root.index.placeholder.where,Regions,""
408,ru.root.index.title.keyboard,Select keyboard to use,""
409,ru.root.index.not_found,There is no data found with provided filters,""
410,ru.root.index.list_view,List View,""
411,ru.root.index.show_map,View Map,""
412,ru.root.index.hide_map,Hide Map,""
413,ru.root.place.contact_place,Contact %{provider},""
414,ru.root.place.your_name,Your Name,""
415,ru.root.place.your_email,Your Email,""
416,ru.root.place.your_message,Your Message,""
417,ru.root.place.send,Send,""
418,ru.root.place.rating,Rating,""
419,ru.root.place.rate,Rate,""
420,ru.root.place.report,Report,""
421,ru.root.place.take_ownership,Take Ownership,""
422,ru.root.place.take_ownership_underway,Ownership Under Consideration,""
423,ru.root.place.share,Share,""
424,ru.root.place.service_tags,Tags:,""
425,ru.root.place.comments,Write to service provider ,""
426,ru.root.place.service.description,Short description of service,""
427,ru.root.place.service.restricted_geographic_area.true,Service is available to residents of the following municipalities,""
428,ru.root.place.service.restricted_geographic_area.false,Service is available to persons in all regions of Georgia,""
429,ru.root.place.service.service_type,Service Type,""
430,ru.root.place.service.municipality,The service is funded by Municipality,""
431,ru.root.place.service.state,The service is Central government,""
432,ru.root.place.service.private_org,The service is Private (not supported by local or central government),""
433,ru.root.place.service.age_restriction.true,The service is available to the following ages,""
434,ru.root.place.service.age_restriction.false,Service is available to persons of all ages,""
435,ru.root.place.service.can_be_used_by.anyone,Service is available to all,""
436,ru.root.place.service.can_be_used_by.diagnosis_with_status,Service is available to all with a disability status and related diagnosis,""
437,ru.root.place.service.can_be_used_by.diagnosis_without_status,Service is available persons with the following specific diagnoses (with or withought disability status),""
438,ru.root.place.service.service_activities,Organization provides the following activities ,""
439,ru.root.place.service.service_specialists,The following specialists are involved in provision of service / support,""
440,ru.root.place.service.need_finance.true,Co-financing may be required,""
441,ru.root.place.service.need_finance.false,The service is free of cost,""
442,ru.root.place.service.get_involved_link,Click on the following link to learn how to get involved,""
443,ru.root.faq.title,FAQ,""
444,ru.root.place_ownership_dialog.take_ownership_for,"Take Ownership of ""%{name}""",""
445,ru.root.place_ownership_dialog.existing_provider,Pick existing provider,""
446,ru.root.place_ownership_dialog.or_create,or create new,""
447,ru.root.place_ownership_dialog.incase_existing_provider,"* If existing provider is picked, this text will be ignored.",""
448,ru.root.place_ownership_dialog.take_ownership,Take Ownership,""
449,ru.mailer.hello,Hello %{name}!,""
450,ru.mailer.hi,Hi %{name}!,""
451,ru.mailer.visiting,Welcome to %{name}!,""
452,ru.mailer.welcome,You will soon be able to search and find details for all services in Georgia.,""
453,ru.mailer.account_created,An account has been created in your name. Please click on the following link to verify your email address and gain full access to all the features of %{name}.,""
454,ru.mailer.confirm_account,Confirm my account,""
455,ru.mailer.need_assistance,"If you need assistance adding your services or would like to contact us with any questions or feedback, please email us at sheaghe.info@gmail.com or call us on 0 800 900 902.",""
456,ru.mailer.thanks,Thank you for registering. We hope you enjoy using %{name}.,""
457,ru.mailer.thanks_short,Thanks!,""
458,ru.mailer.register,"To Register your Organisation/services, all you have to do is log in to your account and follow these simple steps:",""
459,ru.mailer.register_1,Click 'Register Services' button,""
460,ru.mailer.register_2,Complete the application details. Note that you are able to register as many categories of service linked to your profile as you wish.,""
461,ru.mailer.register_3,Submit Registration,""
462,ru.mailer.someone_requested,Someone has requested a link to change your password. You can do this through the link below.,""
463,ru.mailer.please_ignore,"If you didn't request this, please ignore this email.",""
464,ru.mailer.password_not_changing,Your password won't change until you access the link above and create a new one.,""
465,ru.mailer.change_my_password,Change my password,""
466,ru.mailer.account_locked,Your account has been locked due to an excessive number of unsuccessful sign in attempts.,""
467,ru.mailer.link_unlock,Click the link below to unlock your account,""
468,ru.mailer.unlock_account,Unlock my account,""
469,ru.notification.admin_moderate.subject,New Moderation Request(s),""
470,ru.notification.admin_moderate.hello,"Hello Admin,",""
471,ru.notification.admin_moderate.intro,You have new items to moderate:,""
472,ru.notification.admin_moderate.report_item,%{n} place report(s),""
473,ru.notification.admin_moderate.ownership_item,%{n} take ownership request(s),""
474,ru.notification.admin_moderate.new_provider_item,%{n} new provider(s),""
475,ru.notification.admin_moderate.tag_item,%{n} tag(s),""
476,ru.notification.moderator_response.subject,Your request(s) was moderated,""
477,ru.notification.moderator_response.hello,"Hello %{name},",""
478,ru.notification.moderator_response.intro,Moderated request(s):,""
479,ru.notification.moderator_response.report_type,%{n} place report(s),""
480,ru.notification.moderator_response.ownership_type,%{n} take ownership request(s),""
481,ru.notification.moderator_response.new_provider_type,%{n} new provider(s),""
482,ru.notification.moderator_response.tag_type,%{n} tag(s),""
483,ru.notification.moderator_response.photo_type,%{n} photos(s),""
484,ru.notification.moderator_response.labels.place,Organisation,""
485,ru.notification.moderator_response.labels.reason,Reason,""
486,ru.notification.moderator_response.labels.state,Status,""
487,ru.notification.moderator_response.labels.provider,Provider,""
488,ru.notification.moderator_response.labels.description,Description,""
489,ru.notification.moderator_response.labels.photo,Photo,""
490,ru.notification.photo_upload.subject,New photo uploaded,""
491,ru.notification.photo_upload.hello,"Hello %{name},",""
492,ru.notification.photo_upload.intro,You have %{n} uploaded photo(s):,""
493,ru.notification.photo_upload.labels.user,User,""
494,ru.notification.photo_upload.labels.photo,Photo,""
495,ru.notification.photo_upload.labels.place,Organisation,""
496,ru.notification.place_invitation.subject,Invitation to Manage %{place} on Sheaghe,""
497,ru.notification.place_invitation.hello,"Hello,",""
498,ru.notification.place_invitation.intro1,You have been invited to manage the content for %{place}.,""
499,ru.notification.place_invitation.intro2,"To accept the invitation, click the link below.",""
500,ru.notification.place_invitation.intro3,"If you do noto want to accept the invitation, you do not have to do anything. The invitation will expire after %{num} days.",""
501,ru.notification.place_invitation.accept,Accept Invitation,""
502,ru.notification.contact.subject,Customer Message,""
503,ru.notification.contact.hello,"Hello,",""
504,ru.notification.contact.intro,You have new message from customer:,""
505,ru.notification.contact.customer_name,Name: %{name},""
506,ru.notification.contact.customer_email,Email: %{email},""
507,ru.notification.contact.customer_text,Message Text: %{text},""
508,ru.notification.contact.errors.sender_missing,Name is required field,""
509,ru.notification.contact.errors.improper_email,Email is not valid,""
