key,en_value,ka_value
en.shared.provider_profile,Provider Profile,Provider Profile
en.shared.admin_profile,Admin Profile,Admin Profile
en.shared.manage,Manage,Manage
en.shared.moderate,Moderate,Moderate
en.shared.fields_localization,Fields to translate,Fields to translate
en.shared.picked_as_favorite,Picked as favorite,Picked as favorite
en.shared.overall_rating,Overall place rating %{rating}/5,Overall place rating %{rating}/5
en.shared.overall_rating_js,Overall place rating,Overall place rating
en.shared.rating_threshold,/%{n},/%{n}
en.shared.rating,Rating,Rating
en.shared.search,Search,ძიება
en.shared.and_up, & Up, & Up
en.shared.rate,Give rating of %{n},Give rating of %{n}
en.shared.rate_reset,Delete your rating,Delete your rating
en.shared.view_all_provider_places,See all places from this service provider,See all places from this service provider
en.shared.view_place_details,View place details,View place details
en.shared.view_all_services,View All Services,View All Services
en.shared.view_all_service_places,See all places with this service,See all places with this service
en.shared.locate_me,Locate Me on the Map,Locate Me on the Map
en.shared.add,Add,დამატება
en.shared.upload_image,Upload Photo,Upload Photo
en.shared.delete_image,Delete Photo,Delete Photo
en.shared.pending,Pending,Pending
en.shared.accept,Accept,Accept
en.shared.accepted,Accepted,Accepted
en.shared.decline,Decline,Decline
en.shared.declined,Declined,Declined
en.shared.processed,Processed,Processed
en.shared.no_data_found,No Data Found,No Data Found
en.shared.all_done,All done!,All done!
en.shared.are_you_sure,Are you sure?,Are you sure?
en.shared.favorite,Favorite,Favorite
en.shared.unfavorite,Unfavorite,Unfavorite
en.shared.or,Or,Or
en.shared.labels.state,State:,State:
en.shared.title.report,Report a problem with this place,Report a problem with this place
en.shared.title.ownership,Are you a service provider and this is your place? Take ownership of this place so you can manage the content.,Are you a service provider and this is your place? Take ownership of this place so you can manage the content.
en.shared.title.favorite,Add or remove this place from your favorites,Add or remove this place from your favorites
en.messages.succeed_to_process,%{action} was successfully submitted,%{action} was successfully submitted
en.messages.succeed_to_process_reject,%{action} was successfully removed.,%{action} was successfully removed.
en.messages.failed_to_process,Request for %{action} failed.,Request for %{action} failed.
en.messages.place_rate,Place rating,Place rating
en.messages.favorite_place,Favorite,Favorite
en.messages.place_ownership,Place ownership,Place ownership
en.messages.place_report,Place report,Place report
en.messages.n_photo_uploaded.one,Photo uploaded.,Photo uploaded.
en.messages.n_photo_uploaded.other,%{n} photos uploaded.,%{n} photos uploaded.
en.messages.n_photo_uploaded_and_pending.one,Photo uploaded and waiting to be processed,Photo uploaded and waiting to be processed
en.messages.n_photo_uploaded_and_pending.other,%{n} photos uploaded and waiting to be processed,%{n} photos uploaded and waiting to be processed
en.messages.uploader_failed,"Error while uploading photos, please contact administration","Error while uploading photos, please contact administration"
en.messages.assign_provider_to_success,%{child} %{child_name} assigned to provider %{name} successfully,%{child} %{child_name} assigned to provider %{name} successfully
en.messages.assign_provider_to_failed,Failed to assign %{child} to provider,Failed to assign %{child} to provider
en.messages.unassign_provider_to_success,%{child} %{child_name} unassigned from provider %{name} successfully,%{child} %{child_name} unassigned from provider %{name} successfully
en.messages.unassign_provider_to_failed,Failed to unassign %{child} from provider,Failed to unassign %{child} from provider
en.messages.provider_role_required,This operation require user to be service provider.,This operation require user to be service provider.
en.admin.shared.add,Add,დამატება
en.admin.shared.save,Save,შენახვა
en.admin.shared.cancel,Cancel,გაუქმება
en.admin.shared.reset,Reset,Reset
en.admin.shared.edit,Edit,რედაქტირება
en.admin.shared.delete,Delete,წაშლა
en.admin.shared.actions,Actions,მოქმედება
en.admin.shared.assign,Assign,Assign
en.admin.shared.view,View,View
en.admin.shared.add_model,Add %{name},Add %{name}
en.admin.shared.edit_model,Edit %{name},Edit %{name}
en.admin.shared.manage_model,Manage %{name},Manage %{name}
en.admin.shared.create_model,Create %{name},Create %{name}
en.admin.shared.confirm_delete_model,%{name} will be removed.,%{name} will be removed.
en.admin.shared.confirm_restore_model,%{name} will be restored.,%{name} will be restored.
en.admin.shared.search_assign_placeholder,Find object to assign (min 3 chars),Find object to assign (min 3 chars)
en.admin.providers.confirm_delete,Provider will be removed with all places bind to it.,Provider will be removed with all places bind to it.
en.admin.providers.confirm_restore,Provider will be restored with all places bind to it.,Provider will be restored with all places bind to it.
en.admin.providers.form.owner_users,Owner Users:,Owner Users:
en.admin.providers.form.places,Places:,Places:
en.admin.providers.list.manage,Manage Providers,Manage Providers
en.admin.providers.list.manage_with_no_owners,Manage Providers With No Owner,Manage Providers With No Owner
en.admin.places.current_provider,Assigned provider,Assigned provider
en.admin.places.update_provider,Assign provider,Assign provider
en.admin.places.list.provider,Provider:,Provider:
en.admin.places.list.manage_with_no_owners,Manage Places With No Owner,Manage Places With No Owner
en.admin.place.index.title,Manage Places,Manage Places
en.admin.place.locate_me,Locate me on map,Locate me on map
en.admin.page_contents.list,List Items,List Items
en.admin.page_contents.new_item,Unnamed page content item,Unnamed page content item
en.admin.manage_providers.index,Manage Providers,Manage Providers
en.admin.manage_providers.edit,Edit Provider,Edit Provider
en.admin.manage_providers.new,Create Provider,Create Provider
en.admin.manage_places.index,Manage Places,Manage Places
en.admin.manage_places.edit,Edit Place,Edit Place
en.admin.manage_places.new,Create Place,Create Place
en.admin.moderate_photos.index,Moderate Photos,Moderate Photos
en.admin.menu.manage_profile,Manage Profile,Manage Profile
en.admin.menu.favorite_places,Favorite Places,Favorite Places
en.admin.menu.rated_places,Rated Places,Rated Places
en.admin.menu.uploaded_photos,Uploaded Photos,Uploaded Photos
en.admin.menu.manage_providers,Manage Providers,Manage Providers
en.admin.menu.manage_places,Manage Places,Manage Places
en.admin.menu.moderate_photos,Moderate Photos,Moderate Photos
en.admin.menu.users,Users,Users
en.admin.menu.providers,Providers,Providers
en.admin.menu.places,Places,Places
en.admin.menu.services,Services,Services
en.admin.menu.page_contents,Page Contents,Page Contents
en.admin.menu.place_report,Reported Places,Reported Places
en.admin.menu.place_ownership,Place Ownership,Place Ownership
en.admin.menu.new_provider,New Provider,New Provider
en.admin.menu.place_tags,Place Tags,Place Tags
en.admin.user.email,Email,Email
en.admin.user.password,Password,Password
en.admin.user.password_confirmation,Password Confirmation,Password Confirmation
en.admin.user.has_agreed_html,I have accepted the&nbsp;%{link}!:,I have accepted the&nbsp;%{link}!:
en.admin.user.promote,Promote to Admin!:,Promote to Admin!:
en.admin.moderates.place_report.title,Moderate Reported Places,Moderate Reported Places
en.admin.moderates.place_report.reported_by,Reported By:,Reported By:
en.admin.moderates.place_report.reason,Reason:,Reason:
en.admin.moderates.place_ownership.title,Moderate Place Ownership,Moderate Place Ownership
en.admin.moderates.place_ownership.linked_provider,Linked Provider:,Linked Provider:
en.admin.moderates.place_ownership.request_from,Request From:,Request From:
en.admin.moderates.place_tag.title,Moderate Place Tag,Moderate Place Tag
en.admin.moderates.place_tag.created_by,Created By:,Created By:
en.admin.moderates.place_tag.tag,Tag:,Tag:
en.admin.moderates.new_provider.title,Moderate New Provider,Moderate New Provider
en.admin.moderates.new_provider.created_by,Created By:,Created By:
en.admin.moderates.new_provider.name,Provider Name:,Provider Name:
en.admin.moderates.new_provider.description,Description:,Description:
en.admin.uploads.list.uploaded_by,Uploaded By:,Uploaded By:
en.admin.uploads.list.manage_with_no_owners,Manage Place Photos With No Owner,Manage Place Photos With No Owner
en.application.dialog.partners,PARTNERS,PARTNERS
en.application.dialog.contact,CONTACT,CONTACT
en.application.dialog.org,McLain Association for Children,McLain Association for Children
en.application.dialog.address,Address:,Address:
en.application.dialog.address_content,"Kavsadze #3, Second Floor, Tbilisi Georgia","Kavsadze #3, Second Floor, Tbilisi Georgia"
en.application.dialog.phone,Phone:,ტელეფონი:
en.application.dialog.phone_content,Free Hotline: 0 800 900 902; Office #: 2197378,Free Hotline: 0 800 900 902; Office #: 2197378
en.application.dialog.email,Email:,Email:
en.application.dialog.email_content,mac_info@macgeorgia.org,mac_info@macgeorgia.org
en.application.dialog.report,Report a problem with '%{name}',Report a problem with '%{name}'
en.application.dialog.report_button,Send Report,Send Report
en.application.dialog.report_placeholder,Enter the reason for the report,Enter the reason for the report
en.application.dialog.alt.close,Close Dialog,Close Dialog
en.application.dialog.alt.address,Contact Address,საკონტაქტო - ელ.ფოსტა
en.application.dialog.alt.phone,Contact Phone,Contact Phone
en.application.dialog.alt.email,Contact Email,Contact Email
en.application.navigation.logo_title,Sheage - Discovering Services,Sheage - Discovering Services
en.application.navigation.logo_alt,Sheage - Discovering Services Logo,Sheage - Discovering Services Logo
en.application.navigation.user_title,Your profile,Your profile
en.application.navigation.user_alt,Your profile image,Your profile image
en.application.navigation.about,ABOUT,შესახებ
en.application.navigation.faq,FAQ,FAQ
en.application.navigation.contact,CONTACT,დაგვიკავშირდით
en.application.navigation.facebook_alt,Share on Facebook,Share on Facebook
en.application.navigation.twitter_alt,Share on Twitter,Share on Twitter
en.application.navigation.sign_up,Register,რეგისტრაცია
en.application.navigation.sign_in,Sign In,შესვლა
en.application.navigation.log_out,Log Out,გასვლა
en.application.slideshow.alt.close,Close slideshow,Close slideshow
en.application.slideshow.alt.prev,Show previous slideshow image,Show previous slideshow image
en.application.slideshow.alt.next,Show next slideshow image,Show next slideshow image
en.root.index.what,What are you looking for,What are you looking for
en.root.index.where,Where,Where
en.root.index.filters,Filters,Filters
en.root.index.services,Services:,Services:
en.root.index.cancel,Cancel,Cancel
en.root.index.apply,Apply,Apply
en.root.index.rate,Rate:,Rate:
en.root.index.favorites,Favorites:,Favorites:
en.root.index.rating,Rating:,Rating:
en.root.index.result.one,Result,Result
en.root.index.result.other,Results,Results
en.root.index.alt.filter,Filter Image,Filter Image
en.root.index.alt.show_all,Show all,Show all
en.root.index.alt.show_favorite,Show favorite places,Show favorite places
en.root.index.filter.by_map,Search as I move the map,Search as I move the map
en.root.index.placeholder.what,Type Place or Provider Name,Type Place or Provider Name
en.root.index.placeholder.where,Select Region(s),Select Region(s)
en.root.index.title.keyboard,Select keyboard to use,Select keyboard to use
en.root.index.not_found,There is no data found with provided filters,There is no data found with provided filters
en.root.index.list_view,List View,List View
en.root.index.map_view,Map View,Map View
en.root.place.contact_place,Contact %{provider},Contact %{provider}
en.root.place.your_name,Your Name,Your Name
en.root.place.your_email,Your Email,Your Email
en.root.place.your_message,Your Message,თქვენი წერილი
en.root.place.send,Send,გააგზავნეთ წერილი
en.root.place.rating,Rating,Rating
en.root.place.rate,Rate,Rate
en.root.place.report,Report,Report
en.root.place.take_ownership,Take Ownership,Take Ownership
en.root.place.take_ownership_underway,Ownership Under Consideration,Ownership Under Consideration
en.root.place.share,Share,Share
en.root.place.service_tags,Service Tags:,Service Tags
en.root.place.comments,Comments,Comments
en.root.faq.title,FAQ,FAQ
en.root.place_ownership_dialog.take_ownership_for,"Take ""%{name}"" Ownership","Take ""%{name}"" Ownership"
en.root.place_ownership_dialog.existing_provider,Pick existing provider,Pick existing provider
en.root.place_ownership_dialog.or_create,or create new,or create new
en.root.place_ownership_dialog.incase_existing_provider,"* If existing provider is picked, this text will be ignored.","* If existing provider is picked, this text will be ignored."
en.root.place_ownership_dialog.take_ownership,Take Ownership,Take Ownership
en.mailer.hello,Hello %{name}!,გამარჯობათ %{name}!
en.mailer.hi,Hi %{name},გამარჯობა %{name}
en.mailer.welcome,Welcome to %{name}! You will soon be able to search and find details for all rehabilitation services in Georgia.,მადლობას გიხდით %{name} სტუმრობისათვის! მალე თქვენ შეძლებთ მოიძიოთ დეტალური ინფორმაცია სარეაბილიტაციო სერვისების შესახებ საქართველოში.
en.mailer.account_created,An account has been created in your name. Please click on the following link to verify your email address and gain full access to all the features of %{name}:,"თქვენს სახელზე უკვე შექმნილია გვერდი.დააწკაპუნეთ ქვემოთ მითითებულ ლინკზე, რათა მოხდეს თქვენი ელ.ფოსტის დადასრურება და თქვენ გქონდეთ სრული წვდომა %{name} სერვისებზე მიმართ:"
en.mailer.confirm_account,Confirm my account,ჩემი მონაცემების დადასტურება
en.mailer.as_soon_as,"As soon as you have been verified, you can log in in to your account anytime by clicking Sign In on the %{name} home page.","როგორც კი მოხდება თქვენი მონაცემების დადასტურება, თქვენ შეგიძლიათ ნებისმიერ დროს შეხვიდეთ თქვენს შექმნილ გვერდზე, შესვლა - ზე დააწკაპუნეთ  %{name} თქვენს გვერდზე შესასვლელად. გვერდზე."
en.mailer.need_assistance,"If you need assistance searching your required services or would like to contact us with any questions or feedback, please use the Contact Us page at http://",თუ გსურთ დახმარება სასურველი სერვისის მოძებნაში ან დატოვოთ შეტყობინება გთხოვთ მოგვწეროთ: info.rehabge@gmail.com ან დაგვიკავშრდეთ ტელეფონზე 0 800 900 902
en.mailer.phone_number,Alternatively you may call this number:,ასევე თქვენს შეგიძლიათ დაგვიკავშირდეთ ტელეფონის ნომერზე:
en.mailer.thanks,Thank you for registering. We hope you enjoy using %{name}.,მადლობას გიხდით რეგისტრაციისათვის. იმედია კმაყოფილი დარჩებით %{name ის გამოყენებით.
en.mailer.thanks_short,Thanks!,მადლობა
en.mailer.register,"To Register your services, all you have to do is log in to your account and follow these simple steps:",სერვისის რეგისტრაციისათვის დაგჭირდებათ თქვენს გვერდზე შესვლა და მიჰყვეთ მარტივ ინსტრუქციებს:
en.mailer.register_1,Click 'Register Services' button,დააწკაპუნეთ 'სერვისის რეგისტრაცია'
en.mailer.register_2,Complete the application details. Note that you are able to register as many categories of service linked to your profile as you wish.,"სრულად შეავსეთ აპლიკაცია. თქვენ შეგიძლიათ დაარეგისტრიროთ შეუზღუდავი რაოდენობის სერვისები, მაგრამ ისინი აუცილებლად უნდა იყოს დაკავშირებული თქვენს საქმიანობასთან."
en.mailer.register_3,Submit Registration,რეგისტრაცია
en.mailer.someone_requested,Someone has requested a link to change your password. You can do this through the link below.,შემოვიდა მოთხოვდა ლინკზე თქვენი პაროლის შეცვლისათვის. გთხოვთ მიჰყევით ქვემოთ მითითებულ ინსტრუქციას.
en.mailer.please_ignore,"If you didn't request this, please ignore this email.","თუ თქვენ არ მოგითხოვიათ პაროლის შეცვლა, უგულვებელყავით აღნიშნული წერილი."
en.mailer.password_not_changing,Your password won't change until you access the link above and create a new one.,თქვენი პაროლი არ შეიცვლება სანამ თქვენ არ დააწკაპუნებთ ლინკზე და შექმნით ახალ პაროლს.
en.mailer.change_my_password,Change my password,პაროლის შეცვლა
en.mailer.account_locked,Your account has been locked due to an excessive number of unsuccessful sign in attempts.,თქვენ ხუთჯერ არარასწორად შეიყვანეთ პაროლი და თქვენი გვერდი დაიბლოკა.
en.mailer.link_unlock,Click the link below to unlock your account,დააწკაპუნეთ ქვემოთ მითითებულ ლინკზე რომ მოხდეს გვერდიდან ბლოკის ახსნა
en.mailer.unlock_account,Unlock my account,ბლოკის მოხსნა
en.notification.admin_moderate.subject,New Moderation Request(s),New Moderation Request(s)
en.notification.admin_moderate.hello,"Hello Admin,","Hello Admin,"
en.notification.admin_moderate.intro,You have new items to moderate:,You have new items to moderate:
en.notification.admin_moderate.report_item,%{n} place report(s),%{n} place report(s)
en.notification.admin_moderate.ownership_item,%{n} take ownership request(s),%{n} take ownership request(s)
en.notification.admin_moderate.new_provider_item,%{n} new provider(s),%{n} new provider(s)
en.notification.admin_moderate.tag_item,%{n} tag(s),%{n} tag(s)
en.notification.moderator_response.subject,Your request(s) was moderated,Your request(s) was moderated
en.notification.moderator_response.hello,"Hello %{name},","Hello %{name},"
en.notification.moderator_response.intro,Moderated request(s):,Moderated request(s):
en.notification.moderator_response.report_type,%{n} place report(s),%{n} place report(s)
en.notification.moderator_response.ownership_type,%{n} take ownership request(s),%{n} take ownership request(s)
en.notification.moderator_response.new_provider_type,%{n} new provider(s),%{n} new provider(s)
en.notification.moderator_response.tag_type,%{n} tag(s),%{n} tag(s)
en.notification.moderator_response.photo_type,%{n} photos(s),%{n} photos(s)
en.notification.moderator_response.labels.place,Place,Place
en.notification.moderator_response.labels.reason,Reason,Reason
en.notification.moderator_response.labels.state,State,State
en.notification.moderator_response.labels.provider,Provider,Provider
en.notification.moderator_response.labels.description,Description,Description
en.notification.moderator_response.labels.photo,Photo,Photo
en.notification.photo_upload.subject,New photo uploaded,New photo uploaded
en.notification.photo_upload.hello,"Hello %{name},","Hello %{name},"
en.notification.photo_upload.intro,You have %{n} uploaded photo(s):,You have %{n} uploaded photo(s):
en.notification.photo_upload.labels.user,User,User
en.notification.photo_upload.labels.photo,Photo,Photo
en.notification.photo_upload.labels.place,Place,Place
en.notification.contact.subject,Customer Message,Customer Message
en.notification.contact.hello,"Hello,","Hello,"
en.notification.contact.intro,You have new message from customer:,You have new message from customer:
en.notification.contact.customer_name,Name: %{name},Name: %{name}
en.notification.contact.customer_email,Email: %{email},Email: %{email}
en.notification.contact.customer_text,Message Text: %{text},Message Text: %{text}
en.notification.contact.errors.sender_missing,Name is required field,Name is required field
en.notification.contact.errors.improper_email,Email is not valid,Email is not valid
en.notification.contact.errors.text_missing,Message text is blank,Message text is blank
en.notification.contact.errors.skynet_detected,Oops,Oops
en.errors.oops,Oops!,Oops!
en.errors.not_found,404 Page Not Found,404 გვერდი არ მოიძებნა
en.errors.server_error,500 Internal server error,500 შიდა სერვერის პრობლემა
en.errors.404_sorry,"Sorry, the requested page has not been found!","ბოდიშს გიხდით, აღნიშნული გვერდი ვერ მოიძებნა!"
en.errors.500_sorry,"Sorry, there's been a server error. Please try again later.","ბოდიშს გიხდით, სერვერის პრობლემაა. მოგვიანებით ცადეთ."
en.errors.faq_label,Frequently Asked Questions,ხშირად დასმული კითხვები
en.errors.have_questions_html,"Have questions? Click here to view our %{link}. For further assistance, please contact 0 800 900 902.",შეკითხვების შემთხვევაში გადადით ლინკზე %{link}. ან დაგვიკავშირდით მითითებულ ნომერზე 0 800 900 902.
en.errors.ws_error,"Sorry, a server error occurred. Please refresh this page.","Sorry, a server error occurred. Please refresh this page."
en.errors.try_again,"Something went wrong, try again later","Something went wrong, try again later"
en.config.not_authorized,You are not allowed go to that page.,სამწუხაროდ თქვენ  ვერ გადახვალთ ამ გვერდზე.
