id,Key,en Version,en Version,,
,en.activerecord.attributes.place_service.can_be_used_bies.anyone,By any person,By any person,,
,en.activerecord.attributes.place_service.can_be_used_bies.diagnosis_with_status,By any person having disability status and related diagnosis,By any person having disability status and related diagnosis,,
,en.activerecord.attributes.place_service.can_be_used_bies.diagnosis_without_status,Persons with specific diagnoses (with or withought disability status),Persons with specific diagnoses (with or withought disability status),,
,en.activerecord.attributes.place_service.diagnoses,Please list the diagnoses,Please list the diagnoses,,
,en.activerecord.attributes.place_service.service_activities,Organization provides the following activities ,Organization provides the following activities ,,
,en.activerecord.attributes.place_service.service_specialists,The following specialists are involved in service provision ,The following specialists are involved in service provision ,,
,en.activerecord.attributes.place_service.need_finance,Co-financing may be required,Co-financing may be required,,
,en.activerecord.attributes.place_service.get_involved_link,Please indicate the link for people to learn how to get involved,Please indicate the link for people to learn how to get involved,,
,en.activerecord.attributes.place_service.published,Show this service to the public,Show this service to the public,,
,en.activerecord.attributes.place_service.created_at,Date Created,Date Created,,
,en.activerecord.attributes.place_service.updated_at,Date Last Updated,Date Last Updated,,
,en.activerecord.attributes.place_service.has_content,Service Content Has Been Entered?,Service Content Has Been Entered?,,
,en.activerecord.attributes.place_user.place,Organisation,Organisation,,
,en.activerecord.attributes.place_user.user,User,User,,
,en.activerecord.attributes.place_user.created_at,Date Joined,Date Joined,,
,en.activerecord.attributes.resource.title,Title,Title,,
,en.activerecord.attributes.resource.content,Content,Content,,
,en.activerecord.attributes.resourceitem.title,Chapter Titel ,Chapter Titel ,,"Resource item
რესურს გვერდი"
,en.activerecord.errors.models.user.attributes.email.taken,This email is already used,This email is already used,,
,en.activerecord.errors.models.user.attributes.providers.not_filled,data is not filled,data is not filled,,
,en.simple_form.placeholders.place.website,http://example.com,http://example.com,,
,en.simple_form.placeholders.place.tags,Type tag name and press enter,Type tag name and press enter,,
,en.app.languages.en,English,English,,
,en.app.languages.ka,Georgian,Georgian,,
,en.app.languages._en,English,English,,
,en.app.languages._ka,ქართული,ქართული,,
,en.app.common.name,Sheaghe,Sheaghe,,
,en.app.common.slogan,Discovering Services,Discovering Services,,
,en.app.common.description,"
Sheaghe is a unified database of organizations that provide services to persons with disabilities.
Using it you will be able to find information about any service registered in Georgia according to its geographical location and type of service.","
Sheaghe is a unified database of organizations that provide services to persons with disabilities.
Using it you will be able to find information about any service registered in Georgia according to its geographical location and type of service.",,
,en.app.common._yes,Yes,Yes,,
,en.app.common._no,No,No,,
,en.app.common.mac_alt,MAC seeks to transform the lives of the most vulnerable around the world by providing them with the resources they need and by strengthening the systems and individuals that provide them care.,MAC seeks to transform the lives of the most vulnerable around the world by providing them with the resources they need and by strengthening the systems and individuals that provide them care.,,
,en.app.common.created_by,Created By,Created By,,
,en.app.common.forset_alt,Data Communication: Innovative. Effective. Simple.,Data Communication: Innovative. Effective. Simple.,,
,en.app.common.privacy_policy,Privacy Policy,Privacy Policy,,
,en.app.common.terms_of_use,Terms of Use,Terms of Use,,
,en.app.common.contact,-----,-----,,
,en.app.common.rate,Rate,Rate,,
,en.app.common.missing,Missing,Missing,,
,en.app.common.or,or,or,,
,en.app.common.register,Register,Register,,
,en.app.common.sign_in,Sign In,Sign In,,
,en.app.common.sign_up,Sign Up,Sign Up,,
,en.app.common.cancel,Cancel,Cancel,,
,en.app.common.reset,Reset,Reset,,
,en.app.common.reset_password,Reset Password,Reset Password,,
,en.app.common.change_password,Change Password,Change Password,,
,en.app.common.resend,Resend,Resend,,
,en.app.common.click_here,Click Here,Click Here,,
,en.app.common.alt,%{alt} Image,%{alt} Image,,
,en.app.common.by,by,by,,
,en.app.common.save,Save,Save,,
,en.app.messages.success_created,%{obj} was successfully created.,%{obj} was successfully created.,,
,en.app.messages.success_updated,%{obj} was successfully updated.,%{obj} was successfully updated.,,
,en.app.messages.fail_updated,%{obj} failed to update.,%{obj} failed to update.,,
,en.app.messages.success_destroyed,%{obj} was successfully deleted.,%{obj} was successfully deleted.,,
,en.app.messages.fail_destroyed,%{obj} failed to delete.,%{obj} failed to delete.,,
,en.app.messages.success_restored,%{obj} was successfully restored.,%{obj} was successfully restored.,,
,en.app.messages.fail_restored,%{obj} failed to restore.,%{obj} failed to restore.,,
,en.app.messages.accepted,%{obj} was successfully accepted.,%{obj} was successfully accepted.,,
,en.app.messages.declined,%{obj} was successfully declined.,%{obj} was successfully declined.,,
,en.app.messages.fail_updated_state,%{obj} status failed to update.,%{obj} status failed to update.,,
,en.app.messages.state_already_set,%{obj} status already set.,%{obj} status already set.,,
,en.app.messages.contact_send_success,Message successfully sent.,Message successfully sent.,,
,en.app.messages.contact_send_fail,Failed to send message.,Failed to send message.,,
,en.app.messages.service_parent_missing,The parent service record could not be found.,The parent service record could not be found.,,
,en.app.messages.missing_services,Services must be selected.,Services must be selected.,,
,en.app.messages.record_not_found,%{obj} could not be found.,%{obj} could not be found.,,
,en.app.messages.confirm_leave_form,You have unsaved changes. Are you sure you want to leave without saving?,You have unsaved changes. Are you sure you want to leave without saving?,,
,en.app.messages.no_data,You do not have any %{obj} records in the database.,You do not have any %{obj} records in the database.,,
,en.app.messages.success_accepted,%{obj} was successfully accepted.,%{obj} was successfully accepted.,,
,en.app.messages.success_sent,%{obj} was successfully sent.,%{obj} was successfully sent.,,
,en.app.messages.success_removed,%{obj} was successfully removed.,%{obj} was successfully removed.,,
,en.app.messages.fail_removed,%{obj} failed to remove.,%{obj} failed to remove.,,
,en.shared.toggle_navigation,Show navigation,Show navigation,,ორივე მისაღებია
,en.shared.user_profile,Your Account,Your Account,,
,en.shared.provider_profile,Provider Profile,Provider Profile,,
,en.shared.admin_profile,Admin Section,Admin Section,,
,en.shared.manage,Manage,Manage,,
,en.shared.moderate,Moderate,Moderate,,
,en.shared.fields_localization,Fields to translate,Fields to translate,,
,en.shared.picked_as_favorite,Picked as favorite,Picked as favorite,,
,en.shared.overall_rating, Rating: %{rating}, Rating: %{rating},,
,en.shared.overall_rating_js, Rating, Rating,,
,en.shared.rating_threshold,/%{n},/%{n},,
,en.shared.rating, Rating, Rating,,
,en.shared.search,Search,Search,,
,en.shared.and_up,& Up,& Up,,
,en.shared.rate,Give rating of %{n},Give rating of %{n},,
,en.shared.rate_reset,Delete your rating,Delete your rating,,
,en.shared.view_all_provider_places,See all places from this service provider,See all places from this service provider,,
,en.shared.view_place_details,View organisation details,View organisation details,,
,en.shared.view_all_services,View All Services,View All Services,,
,en.shared.view_all_service_places,See all organizations with this service,See all organizations with this service,,
,en.shared.add,Add,Add,,
,en.shared.add_sub_service,Add Service,Add Service,,
,en.shared.upload_image,Upload Photos,Upload Photos,,
,en.shared.delete_image,Delete Photo,Delete Photo,,
,en.shared.pending,Pending,Pending,,
,en.shared.accept,Accept,Accept,,
,en.shared.accepted,Accepted,Accepted,,
,en.shared.decline,Decline,Decline,,
,en.shared.declined,Declined,Declined,,
,en.shared.processed,Processed,Processed,,
,en.shared.no_data_found,There is no data on record at this time.,There is no data on record at this time.,,
,en.shared.no_service_data_found,There is no service data on record at this time.,There is no service data on record at this time.,,
,en.shared.all_done,Nothing records to moderate!,Nothing records to moderate!,,
,en.shared.are_you_sure,Are you sure?,Are you sure?,,
,en.shared.favorite,Favorite,Favorite,,
,en.shared.unfavorite,Unfavorite,Unfavorite,,
,en.shared.url_placeholder,ex: http://www.example.org,ex: http://www.example.org,,
,en.shared.or,Or,Or,,
,en.shared.labels.state,Status:,Status:,,
,en.shared.title.report,Report a problem ,Report a problem ,,
,en.shared.title.ownership,Are you a service provider and this is your organisation ? Take ownership of this place so you can manage the content.,Are you a service provider and this is your organisation ? Take ownership of this place so you can manage the content.,,
,en.shared.title.favorite,Add or remove this organisation from your favorites,Add or remove this organisation from your favorites,,
,en.shared.filters.children,Children (0-18),Children (0-18),,
,en.shared.filters.adults,Adults 18+,Adults 18+,,
,en.shared.services,Services,Services,,
,en.shared.director,Director,Director,,
,en.shared.region,Region,Region,,
,en.shared.municipality,Municipality,Municipality,,
,en.shared.city_village,City / Village,City / Village,,
,en.messages.succeed_to_process,%{action} was successfully submitted,%{action} was successfully submitted,,
,en.messages.succeed_to_process_reject,%{action} was successfully removed.,%{action} was successfully removed.,,
,en.messages.failed_to_process,Request for %{action} failed.,Request for %{action} failed.,,
,en.messages.place_rate, rating, rating,,
,en.messages.favorite_place,Favorite,Favorite,,
,en.messages.place_ownership,Place ownership,Place ownership,,
,en.messages.place_report,Place report,Place report,,
,en.messages.n_photo_uploaded.one,Photo uploaded.,Photo uploaded.,,
,en.messages.n_photo_uploaded.other,%{n} photos uploaded.,%{n} photos uploaded.,,
,en.messages.n_photo_uploaded_and_pending.one,Photo uploaded and waiting to be processed,Photo uploaded and waiting to be processed,,
,en.messages.n_photo_uploaded_and_pending.other,%{n} photos uploaded and waiting to be processed,%{n} photos uploaded and waiting to be processed,,
,en.messages.uploader_failed,"Error while uploading photos, please contact administration","Error while uploading photos, please contact administration",,
,en.messages.assign_provider_to_success,%{child} %{child_name} was assigned to the provider %{name} successfully,%{child} %{child_name} was assigned to the provider %{name} successfully,,
,en.messages.assign_provider_to_failed,Failed to assign %{child} to provider,Failed to assign %{child} to provider,,
,en.messages.unassign_provider_to_success,%{child} %{child_name} unassigned from provider %{name} successfully,%{child} %{child_name} unassigned from provider %{name} successfully,,
,en.messages.unassign_provider_to_failed,Failed to unassign %{child} from provider,Failed to unassign %{child} from provider,,
,en.messages.provider_role_required,This operation require user to be service provider.,This operation require user to be service provider.,,
,en.admin.shared.add,Add,Add,,
,en.admin.shared.save,Save,Save,,
,en.admin.shared.cancel,Cancel,Cancel,,
,en.admin.shared.reset,ვიეწ,ვიეწ,,
,en.admin.shared.edit,Edit,Edit,,
,en.admin.shared.delete,Delete,Delete,,
,en.admin.shared.actions,Actions,Actions,,
,en.admin.shared.assign,Assign,Assign,,
,en.admin.shared.view,View,View,,
,en.admin.shared.add_model,Add %{name},Add %{name},,
,en.admin.shared.edit_model,Edit %{name},Edit %{name},,
,en.admin.shared.manage_model,Manage %{name},Manage %{name},,
,en.admin.shared.create_model,Create %{name},Create %{name},,
,en.admin.shared.confirm_delete_model,%{name} will be removed.,%{name} will be removed.,,
,en.admin.shared.confirm_restore_model,%{name} will be restored.,%{name} will be restored.,,
,en.admin.shared.search_assign_placeholder,Find object (min 3 chars),Find object (min 3 chars),,
,en.admin.shared.add_service,Add Service,Add Service,,
,en.admin.shared.add_service_for_place,Add a Service to %{place},Add a Service to %{place},,
,en.admin.shared.input_service_for_place,%{place} Service Details for '%{service}',%{place} Service Details for '%{service}',,
,en.admin.shared.invitations_for_place,Manage Access to %{place},Manage Access to %{place},,
,en.admin.shared.manage_access,Manage Access,Manage Access,,
,en.admin.shared.next,Next,Next,,
,en.admin.shared.select_all,Select all that apply,Select all that apply,,
,en.admin.shared.is_required,must be provided,must be provided,,
,en.admin.shared.place_needs_services,You need to add services to the organisation before it is viewable to the public,You need to add services to the organisation before it is viewable to the public,,
,en.admin.shared.move_up,Move the item up the list,Move the item up the list,,
,en.admin.shared.move_down,Move the item down the list,Move the item down the list,,
,en.admin.shared.position,Position,Position,,
,en.admin.shared.invite,Invite,Invite,,
,en.admin.shared.revoke_access,Revoke Access,Revoke Access,,
,en.admin.providers.confirm_delete,Provider will be removed with all places bind to it.,Provider will be removed with all places bind to it.,,
,en.admin.providers.confirm_restore,Provider will be restored with all places bind to it.,Provider will be restored with all places bind to it.,,
,en.admin.providers.form.owner_users,Owners:,Owners:,,
,en.admin.providers.form.places,Places:,Places:,,
,en.admin.providers.list.manage,Manage Providers,Manage Providers,,
,en.admin.providers.list.manage_with_no_owners,Manage Providers With No Owner,Manage Providers With No Owner,,
,en.admin.users.pending_invitations.place_invitation_help_text,"If you have been invitated to manage  information on Sheaghe, the invitation will be listed below.","If you have been invitated to manage  information on Sheaghe, the invitation will be listed below.",,
,en.admin.places.current_provider,Assigned provider,Assigned provider,პროვაიდერი დანიშნულია,
,en.admin.places.update_provider,Assign provider,Assign provider,პროვაიდერი დანიშვნა,
,en.admin.places.declined_tags,Declined Tags:,Declined Tags:,,
,en.admin.places.list.provider,Provider:,Provider:,,
,en.admin.places.list.manage_with_no_owners,Manage Places With No Owner,Manage Places With No Owner,,
,en.admin.places.select_service.place,Organisation,Organisation,,
,en.admin.places.select_service.root_service,Select a Service Category,Select a Service Category,,
,en.admin.places.select_service.services,Select All Services That Apply,Select All Services That Apply,,
,en.admin.places.select_service.no_selection,Select a Service Category to see a list of Services,Select a Service Category to see a list of Services,,
,en.admin.places.select_service.view_root_services,Show Service Categories,Show Service Categories,,
,en.admin.places.input_service.place,organisation,organisation,,
,en.admin.places.input_service.instructions,Please enter the details for this service below,Please enter the details for this service below,,
,en.admin.places.input_service.add_more_services,Add More Services,Add More Services,,
,en.admin.places.input_service.add_more_services_title,Click here if you want to add more services to the organization ,Click here if you want to add more services to the organization ,,
,en.admin.places.input_service.place_list,All Organizations,All Organizations,,
,en.admin.places.input_service.place_list_title,Click here to go back to your list of organizations,Click here to go back to your list of organizations,,
,en.admin.places.input_service.services_instructions,Click a button below to add details to your other new services.,Click a button below to add details to your other new services.,,
,en.admin.places.services_list.service_link,Click to add details to this service,Click to add details to this service,,
,en.admin.places.services_list.service_current,This is the service you are currently entering details for,This is the service you are currently entering details for,,
,en.admin.places.form.map_heading,Position Your Place On The Map,Position Your Place On The Map,,
,en.admin.places.form.map_help,Click on the map to place a marker for your place. Or you can click on the button below to use your current location.,Click on the map to place a marker for your place. Or you can click on the button below to use your current location.,,
,en.admin.places.form.locate_me,Use My Current Location,Use My Current Location,,
,en.admin.places.form.poster_instructions,The green circle with a white checkmark indicates which image will be used for your place listing on the homepage. Click on an image to make it the new image for the homepage listing.,The green circle with a white checkmark indicates which image will be used for your place listing on the homepage. Click on an image to make it the new image for the homepage listing.,,
,en.admin.places.invitations.invitation_help_text,"Enter one or more emails of people you want to give access to manage information about your organisation. Separate emails by ','.","Enter one or more emails of people you want to give access to manage information about your organisation. Separate emails by ','.",,
,en.admin.places.invitations.expired_help_text,Invitations automatically expire after %{num} days.,Invitations automatically expire after %{num} days.,,
,en.admin.places.invitations.send_invitations,Send Invitations,Send Invitations,,
,en.admin.places.invitations.pending_invitations,Pending Invitations,Pending Invitations,,
,en.admin.places.invitations.current_users,Current Users,Current Users,,
,en.admin.places.invitations.expired_invitations,Expired Invitations,Expired Invitations,,
,en.admin.places.invitations.pending,Pending Invitation,Pending Invitation,,
,en.admin.places.invitations.user,Current User,Current User,,
,en.admin.places.invitations.expired,Expired Invitation,Expired Invitation,,
,en.admin.places.invitations.emails,Emails,Emails,,
,en.admin.places.invitations.emails_placeholder,"Separate emails by ','","Separate emails by ','",,
,en.admin.place.index.title,Manage Organisations,Manage Organisations,,
,en.admin.place.locate_me,Locate me on the map,Locate me on the map,,
,en.admin.page_contents.list,List Items,List Items,,
,en.admin.page_contents.new_item,Unnamed list item,Unnamed list item,,
,en.admin.manage_providers.index,Manage Providers,Manage Providers,,
,en.admin.manage_providers.edit,Edit Provider,Edit Provider,,
,en.admin.manage_providers.new,Create Provider,Create Provider,,
,en.admin.manage_places.index,Manage Organisations,Manage Organisations,,
,en.admin.manage_places.edit,Edit Organisation,Edit Organisation,,
,en.admin.manage_places.new,Register Organisation,Register Organisation,,
,en.admin.moderate_photos.index,Moderate Photos,Moderate Photos,,
,en.admin.menu.manage_profile,Profile,Profile,,
,en.admin.menu.favorite_places,Favorite Organisations,Favorite Organisations,,
,en.admin.menu.rated_places,Rated Organisation,Rated Organisation,,
,en.admin.menu.pending_invitations,Pending Invitations,Pending Invitations,,
,en.admin.menu.uploaded_photos,Uploaded Photos,Uploaded Photos,,
,en.admin.menu.manage_providers,Manage Providers,Manage Providers,,
,en.admin.menu.manage_places,Organisation ,Organisation ,,
,en.admin.menu.moderate_photos,Moderate Photos,Moderate Photos,,
,en.admin.menu.users,Users,Users,,
,en.admin.menu.providers,Providers,Providers,,
,en.admin.menu.places,Organisations,Organisations,,
,en.admin.menu.services,Services,Services,,
,en.admin.menu.page_contents,Page Contents,Page Contents,,
,en.admin.menu.place_report,Reported Organisations,Reported Organisations,,
,en.admin.menu.place_ownership,Place Ownership,Place Ownership,,
,en.admin.menu.place_service,Place Service,Place Service,,
,en.admin.menu.new_provider,New Provider,New Provider,,
,en.admin.menu.place_tags,Place Tags,Place Tags,,
,en.admin.menu.place_tag,Place Tag,Place Tag,,
,en.admin.menu.resources,Topics,Topics,,
,en.admin.menu.resource_items,Chapters,Chapters,,
,en.admin.user.email,Email,Email,,
,en.admin.user.password,Password,Password,,
,en.admin.user.password_confirmation,Password Confirmation,Password Confirmation,,
,en.admin.user.has_agreed_html,I have accepted the&nbsp;%{link}!:,I have accepted the&nbsp;%{link}!:,,
,en.admin.user.promote,Promote to Admin!:,Promote to Admin!:,,
,en.admin.moderates.place_service.title,Moderate Organisation's Services,Moderate Organisation's Services,,
,en.admin.moderates.place_report.title,Moderate Reported Organisations,Moderate Reported Organisations,,
,en.admin.moderates.place_report.reported_by,Reported By:,Reported By:,,
,en.admin.moderates.place_report.reason,Reason:,Reason:,,
,en.admin.moderates.place_ownership.title,Moderate Organization's Ownership,Moderate Organization's Ownership,,
,en.admin.moderates.place_ownership.linked_provider,Provider:,Provider:,,
,en.admin.moderates.place_ownership.request_from,Request From:,Request From:,,
,en.admin.moderates.place_tag.title,Moderate Organization's Tag,Moderate Organization's Tag,,
,en.admin.moderates.place_tag.created_by,Created By:,Created By:,,
,en.admin.moderates.place_tag.tag,Tag:,Tag:,,
,en.admin.moderates.new_provider.title,Moderate New Provider,Moderate New Provider,,
,en.admin.moderates.new_provider.created_by,Created By:,Created By:,,
,en.admin.moderates.new_provider.name,Provider Name:,Provider Name:,,
,en.admin.moderates.new_provider.description,Description:,Description:,,
,en.admin.uploads.list.uploaded_by,Uploaded By:,Uploaded By:,,
,en.admin.uploads.list.manage_with_no_owners,Manage Organization's  Photos With No Owner,Manage Organization's  Photos With No Owner,,
,en.admin.resources.new_item,New Chapter ,New Chapter ,,
,en.admin.resources.list,Chapters,Chapters,,
,en.admin.resource_items.new_item,New Resource Content,New Resource Content,,
,en.admin.resource_items.list,Chapters,Chapters,,
,en.application.dialog.partners,PARTNERS,PARTNERS,,
,en.application.dialog.contact,CONTACT,CONTACT,,
,en.application.dialog.org,MAC Georgia,MAC Georgia,,
,en.application.dialog.address,Address:,Address:,,
,en.application.dialog.address_content,"3 Kavsadze, Second Floor, Tbilisi, Georgia","3 Kavsadze, Second Floor, Tbilisi, Georgia",,
,en.application.dialog.phone,Phone:,Phone:,,
,en.application.dialog.phone_content,Free Hotline: 0 800 900 902; Office #: 2197378,Free Hotline: 0 800 900 902; Office #: 2197378,,
,en.application.dialog.email,Email:,Email:,,
,en.application.dialog.email_content,mac_info@macgeorgia.org,mac_info@macgeorgia.org,,
,en.application.dialog.report,Report a problem with '%{name}',Report a problem with '%{name}',,
,en.application.dialog.report_button,Send,Send,,
,en.application.dialog.report_placeholder,Enter the reason for the report,Enter the reason for the report,,
,en.application.dialog.alt.close,Close Dialog,Close Dialog,,
,en.application.dialog.alt.address,Contact Address,Contact Address,,
,en.application.dialog.alt.phone,Contact Phone,Contact Phone,,
,en.application.dialog.alt.email,Contact Email,Contact Email,,
,en.application.navigation.logo_title,Sheage - Discovering Services,Sheage - Discovering Services,,
,en.application.navigation.logo_alt,Sheage - Discovering Services Logo,Sheage - Discovering Services Logo,,
,en.application.navigation.user_title,Your profile,Your profile,,
,en.application.navigation.user_alt,Your profile image,Your profile image,,
,en.application.navigation.about,ABOUT,ABOUT,,
,en.application.navigation.faq,FAQ,FAQ,,
,en.application.navigation.contact,CONTACT,CONTACT,,
,en.application.navigation.resources,RESOURCES,RESOURCES,,
,en.application.navigation.facebook_alt,Share on Facebook,Share on Facebook,,
,en.application.navigation.twitter_alt,Share on Twitter,Share on Twitter,,
,en.application.navigation.sign_up,Register,Register,,
,en.application.navigation.sign_in,Sign In,Sign In,,
,en.application.navigation.log_out,Log Out,Log Out,,
,en.application.slideshow.alt.close,Close slideshow,Close slideshow,,
,en.application.slideshow.alt.prev,Show previous slideshow image,Show previous slideshow image,,
,en.application.slideshow.alt.next,Show next slideshow image,Show next slideshow image,,
,en.root.index.what,What are you looking for,What are you looking for,,
,en.root.index.where,Where,Where,,
,en.root.index.filters,Filters,Filters,,
,en.root.index.services,Services:,Services:,,
,en.root.index.cancel,Cancel,Cancel,,
,en.root.index.apply,Apply,Apply,,
,en.root.index.rate,Rate:,Rate:,,
,en.root.index.favorites,Filter by Favorites:,Filter by Favorites:,,
,en.root.index.rating,Rating:,Rating:,,
,en.root.index.result.one,Result,Result,,
,en.root.index.result.other,Results,Results,,
,en.root.index.alt.filter,Filter,Filter,,
,en.root.index.alt.show_all,Show all,Show all,,
,en.root.index.alt.show_favorite,Show favorite places,Show favorite places,,
,en.root.index.filter.by_map,Filter as I move the map,Filter as I move the map,,
,en.root.index.placeholder.what,"Place, address or city","Place, address or city",,
,en.root.index.placeholder.where,Regions,Regions,,
,en.root.index.title.keyboard,Select keyboard to use,Select keyboard to use,,
,en.root.index.not_found,There is no data found with provided filters,There is no data found with provided filters,,
,en.root.index.list_view,List View,List View,,
,en.root.index.show_map,View Map,View Map,,
,en.root.index.hide_map,Hide Map,Hide Map,,
,en.root.place.contact_place,Contact %{provider},Contact %{provider},,
,en.root.place.your_name,Your Name,Your Name,,
,en.root.place.your_email,Your Email,Your Email,,
,en.root.place.your_message,Your Message,Your Message,,
,en.root.place.send,Send,Send,,
,en.root.place.rating,Rating,Rating,,
,en.root.place.rate,Rate,Rate,,
,en.root.place.report,Report,Report,,
,en.root.place.take_ownership,Take Ownership,Take Ownership,,
,en.root.place.take_ownership_underway,Ownership Under Consideration,Ownership Under Consideration,,
,en.root.place.share,Share,Share,,
,en.root.place.service_tags,Tags:,Tags:,,
,en.root.place.comments,Comments,Comments,,
,en.root.place.service.description,Short description of service,Short description of service,,
,en.root.place.service.restricted_geographic_area.true,Service is available to residents of the following municipalities,Service is available to residents of the following municipalities,,
,en.root.place.service.restricted_geographic_area.false,Service is available to persons in all regions of Georgia,Service is available to persons in all regions of Georgia,,
